gene_name,gene_id,gene_type,TSS,genomic_strand,chromosome_name,fpkm_median,tpm_median,fpkm_uq_median
NLRP6,ENSG00000174885,protein_coding,279403,+,chr11,-2.702749878828293,-1.3029379195026087,-2.5236701622428623
NLRP7,ENSG00000167634,protein_coding,55458860,-,chr19,-1.2698600476434878,0.2187191817031172,-1.1134108350818184
NLRX1,ENSG00000160703,protein_coding,119039414,+,chr11,2.1625323182414578,3.613260532787865,2.3626943061091
NMB,ENSG00000197696,protein_coding,85201423,-,chr15,3.221938931628624,4.68405006772756,3.4084537286555348
NMBR,ENSG00000135577,protein_coding,142410202,-,chr6,-4.710283551513701,-3.3703403000726087,-4.532824877385981
NMD3,ENSG00000169251,protein_coding,160939068,+,chr3,3.519227365793122,5.040309450053771,3.702535651563996
NME1,ENSG00000239672,protein_coding,49230905,+,chr17,3.754727193808296,5.23331672692537,3.91704023637502
NME1-NME2,ENSG00000011052,protein_coding,49243759,+,chr17,-7.643856189774724,-7.643856189774724,-7.643856189774724
NME3,ENSG00000103024,protein_coding,1821500,-,chr16,4.35894476440863,5.844179739893425,4.511271938846661
NME4,ENSG00000103202,protein_coding,447183,+,chr16,4.76341688629764,6.204676775002035,4.951914117307017
NME5,ENSG00000112981,protein_coding,137475071,-,chr5,0.9829479551575266,2.5101770822186964,1.1182268137929476
NME6,ENSG00000172113,protein_coding,48342822,-,chr3,1.6099912952126785,3.063226801996982,1.8212203910006943
NME7,ENSG00000143156,protein_coding,169337004,-,chr1,1.2828549093225547,2.725828391661851,1.4560175758077858
NME9,ENSG00000181322,protein_coding,138048653,-,chr3,-2.121549296903336,-0.6922217729418085,-1.9618447989740315
NMI,ENSG00000123609,protein_coding,152146128,-,chr2,3.800164779225029,5.291356752383188,3.965479555288896
NMNAT1,ENSG00000173614,protein_coding,10003486,+,chr1,0.6773503771951782,2.132576842670008,0.8870572937549823
NMNAT2,ENSG00000157064,protein_coding,183387459,-,chr1,0.1322477982984395,1.6114084810249572,0.2520522750315127
NMNAT3,ENSG00000163864,protein_coding,139396801,-,chr3,-0.5651182805928652,0.8889282915845642,-0.3978282092466207
NMRAL1,ENSG00000153406,protein_coding,4524550,-,chr16,3.8675901058078095,5.309580033163414,4.061171348340791
NMS,ENSG00000204640,protein_coding,101086842,+,chr2,-7.643856189774724,-7.643856189774724,-7.643856189774724
NMT1,ENSG00000136448,protein_coding,43138664,+,chr17,3.692148184601131,5.183141083817151,3.880421055902337
NMT2,ENSG00000152465,protein_coding,15210666,-,chr10,1.3648525400612033,2.8203627985656,1.557581639729309
NMU,ENSG00000109255,protein_coding,56502455,-,chr4,3.619002095074795,5.163402120005141,3.783561421437798
NMUR1,ENSG00000171596,protein_coding,232395139,-,chr2,-2.863546090731349,-1.4235262348951692,-2.694321256757713
NMUR2,ENSG00000132911,protein_coding,151784838,-,chr5,-4.938984225318372,-3.627716487119472,-4.764150423492437
NNAT,ENSG00000053438,protein_coding,36149602,+,chr20,-0.8188338257300231,0.6247092022294123,-0.6720827425813518
NNMT,ENSG00000166741,protein_coding,114167069,+,chr11,4.653008409443181,6.097454889497781,4.831679667598388
NNT,ENSG00000112992,protein_coding,43603259,+,chr5,2.224596000021117,3.7276482222686114,2.4490594803514725
NOA1,ENSG00000084092,protein_coding,57843743,-,chr4,4.542140400309999,5.976780618823309,4.734438666137168
NOB1,ENSG00000141101,protein_coding,69788816,-,chr16,4.17373509275824,5.615940026677404,4.344899494022179
NOC2L,ENSG00000188976,protein_coding,894620,-,chr1,3.783320445784341,5.261982056984317,3.9280291528201023
NOC3L,ENSG00000173145,protein_coding,96122682,-,chr10,2.140876794964554,3.577718848566443,2.319502329004308
NOC4L,ENSG00000184967,protein_coding,132628963,+,chr12,4.038155201025969,5.561488056289521,4.175923742063755
NOD1,ENSG00000106100,protein_coding,30518304,-,chr7,0.2347465517443219,1.7309659518600808,0.3561438102252751
NOD2,ENSG00000167207,protein_coding,50727479,+,chr16,-0.9845024306046744,0.4244921708892051,-0.8211260418302047
NODAL,ENSG00000156574,protein_coding,72201429,-,chr10,-3.684086034563257,-2.286304185156641,-3.537842952152605
NOG,ENSG00000183691,protein_coding,54671047,+,chr17,-0.6308406539354685,0.8394759214937553,-0.3957388605238937
NOL10,ENSG00000115761,protein_coding,10830094,-,chr2,2.9917531122445142,4.4470766121198055,3.1801478611584284
NOL11,ENSG00000130935,protein_coding,65714018,+,chr17,3.520761666253194,5.010909603873031,3.691634658751639
NOL3,ENSG00000140939,protein_coding,67204418,+,chr16,1.8182370397120904,3.262808967120797,1.984625804609174
NOL4,ENSG00000101746,protein_coding,31802972,-,chr18,-6.243318260190996,-5.248793390257147,-6.148161027150656
NOL6,ENSG00000165271,protein_coding,33473882,-,chr9,3.33761119880567,4.783875677029723,3.5132380623330914
NOL7,ENSG00000225921,protein_coding,13615554,+,chr6,4.725915621545237,6.199839177473406,4.913851610106957
NOL8,ENSG00000198000,protein_coding,95087604,-,chr9,1.6844597018913463,3.1414981881343063,1.8954577414926828
NOL9,ENSG00000162408,protein_coding,6614565,-,chr1,2.210700562629804,3.702435914226808,2.428383624160213
NOLC1,ENSG00000166197,protein_coding,103912137,+,chr10,4.9413974504891165,6.39971798353103,5.093703830067312
NOM1,ENSG00000146909,protein_coding,156742399,+,chr7,1.5443864664896847,2.984060660246718,1.724781221466735
NOMO1,ENSG00000103512,protein_coding,14927576,+,chr16,3.275200784857999,4.729095908137105,3.440447299270984
NOMO3,ENSG00000103226,protein_coding,16326373,+,chr16,-1.3197656737367416,0.1390765150461117,-1.1134108350818184
NONO,ENSG00000147140,protein_coding,70503447,+,chrX,5.287642205156006,6.770092978129453,5.4824449689172585
NOP10,ENSG00000182117,protein_coding,34635314,-,chr15,7.11499681710087,8.577914805996054,7.237640195035386
NOP14,ENSG00000087269,protein_coding,2965052,-,chr4,3.08883699012231,4.576618878686374,3.267505835243764
NOP16,ENSG00000048162,protein_coding,175815565,-,chr5,2.8687460204732926,4.344033091528058,3.057363621230939
NOP2,ENSG00000111641,protein_coding,6677422,-,chr12,-2.778927217484937,-1.3393451479647718,-2.628608416075788
NOP56,ENSG00000101361,protein_coding,2633269,+,chr20,4.860759237397814,6.389804258723904,5.037316323952372
NOP58,ENSG00000055044,protein_coding,203130444,+,chr2,4.050083716795051,5.556046158257168,4.181126409901174
NOS1,ENSG00000089250,protein_coding,117877393,-,chr12,-4.115284870903968,-2.820106829466452,-3.874084450525277
NOS1AP,ENSG00000198929,protein_coding,162039465,+,chr1,-0.7242777438392517,0.7442472240466534,-0.5236701622428622
NOS2,ENSG00000007171,protein_coding,26127550,-,chr17,-3.851000837412236,-2.405069330187608,-3.702749878828293
NOS3,ENSG00000164867,protein_coding,150690857,+,chr7,0.5136928603321989,1.9833128710671208,0.6757256187968363
NOSIP,ENSG00000142546,protein_coding,50083803,-,chr19,3.3886855074953144,4.904927194937622,3.5664620461926857
NOSTRIN,ENSG00000163072,protein_coding,169659121,+,chr2,-0.8218909239056749,0.6747318093546645,-0.6638308895359909
NOTCH1,ENSG00000148400,protein_coding,139440490,-,chr9,2.485890476065232,3.969362344305101,2.678319847015893
NOTCH2,ENSG00000134250,protein_coding,120612261,-,chr1,3.558390098725466,5.04524199996927,3.703111776765573
NOTCH3,ENSG00000074181,protein_coding,15311796,-,chr19,4.806679788932514,6.318282491044124,4.979613826630139
NOTCH4,ENSG00000204301,protein_coding,32191834,-,chr6,0.2356045327632989,1.6944345038735311,0.3691593460645312
NOTO,ENSG00000214513,protein_coding,73429698,+,chr2,-7.643856189774724,-7.643856189774724,-7.643856189774724
NOTUM,ENSG00000185269,protein_coding,79919053,-,chr17,0.0760117385696409,1.6142386830917883,0.2961930726147916
NOVA1,ENSG00000139910,protein_coding,27067231,-,chr14,-1.3212069276437084,0.0783365711211787,-1.0478155571035868
NOVA2,ENSG00000104967,protein_coding,46476791,-,chr19,-1.0944950568503844,0.3350258383216931,-0.9181150332707728
NOX1,ENSG00000007952,protein_coding,100129283,-,chrX,-2.2009126939259964,-0.7700429914156375,-2.0661252582846443
NOX3,ENSG00000074771,protein_coding,155776966,-,chr6,-7.643856189774724,-7.643856189774724,-7.643856189774724
NOX4,ENSG00000086991,protein_coding,89224508,-,chr11,-0.4492963037521121,0.8986340347169742,-0.3446481713874459
NOX5,ENSG00000255346,protein_coding,69222827,+,chr15,-4.0303245368567975,-2.672082742581352,-3.863546090731349
NOXA1,ENSG00000188747,protein_coding,140317828,+,chr9,3.733658033918999,5.214497867900517,3.89564192502181
NOXO1,ENSG00000196408,protein_coding,2031464,-,chr16,-6.480357457491846,-5.467533417134262,-6.392894616241506
NOXRED1,ENSG00000165555,protein_coding,77889860,-,chr14,-1.8054085972262663,-0.3881666345540985,-1.6348674065474702
NPAS1,ENSG00000130751,protein_coding,47523058,+,chr19,-1.123433941248279,0.4241696488026377,-0.9551163217602352
NPAS2,ENSG00000170485,protein_coding,101436564,+,chr2,1.0476779751444754,2.46892212158475,1.2367681200396574
NPAS3,ENSG00000151322,protein_coding,33403881,+,chr14,1.2004415770811352,2.675838508382791,1.4308740079546876
NPAS4,ENSG00000174576,protein_coding,66188503,+,chr11,-5.454822365384708,-4.171368418311982,-5.333516069162574
NPAT,ENSG00000149308,protein_coding,108093329,-,chr11,1.4721238024814385,2.95464301130103,1.6684822495413287
NPB,ENSG00000183979,protein_coding,79860053,+,chr17,-7.643856189774724,-7.643856189774724,-7.643856189774724
NPBWR2,ENSG00000125522,protein_coding,62738899,-,chr20,-6.333516069162574,-5.1791879227712805,-6.210896782498619
NPC1,ENSG00000141458,protein_coding,21166386,-,chr18,1.5237626648832812,3.0266938447560707,1.72159139877538
NPC1L1,ENSG00000015520,protein_coding,44580861,-,chr7,-3.536168320460351,-2.056491198838264,-3.2877123795494496
NPC2,ENSG00000119655,protein_coding,74959995,-,chr14,6.485861502374298,7.979036994545802,6.695043113445047
NPDC1,ENSG00000107281,protein_coding,139940608,-,chr9,3.859005442275348,5.350872016232245,4.038093729217687
NPEPL1,ENSG00000215440,protein_coding,57267914,+,chr20,0.5449798832558037,1.9645464985564425,0.7286606666214827
NPEPPS,ENSG00000141279,protein_coding,45608455,+,chr17,2.5257181140016924,4.005642512600063,2.730074721723384
NPFF,ENSG00000139574,protein_coding,53901266,-,chr12,-7.643856189774724,-7.643856189774724,-7.643856189774724
NPFFR1,ENSG00000148734,protein_coding,72043668,-,chr10,-0.4540316308947075,1.069908349376895,-0.2517105266295846
NPFFR2,ENSG00000056291,protein_coding,72897707,+,chr4,-5.148161027150656,-3.811978948583052,-5.006941609418846
NPHP1,ENSG00000144061,protein_coding,110962544,-,chr2,-0.8873665830147547,0.5919665871004157,-0.6959563035264595
NPHP3,ENSG00000113971,protein_coding,132441209,-,chr3,-0.5143670882581787,0.9338747417153556,-0.3580840965248872
NPHP4,ENSG00000131697,protein_coding,6052463,-,chr1,0.3839392512151303,1.8316746012530167,0.5621813564718671
NPHS1,ENSG00000161270,protein_coding,36343357,-,chr19,-4.354021724597216,-2.98850436116217,-4.205563338195578
NPHS2,ENSG00000116218,protein_coding,179545059,-,chr1,-7.643856189774724,-7.643856189774724,-7.643856189774724
NPL,ENSG00000135838,protein_coding,182758900,+,chr1,0.952557222682185,2.4571740027042,1.1880843705611523
NPLOC4,ENSG00000182446,protein_coding,79604075,-,chr17,3.710778887946344,5.181034947693364,3.90744832986932
NPM1,ENSG00000181163,protein_coding,170814846,+,chr5,6.059476420146331,7.457562281951306,6.286567002219138
NPM2,ENSG00000158806,protein_coding,21881661,+,chr8,-2.0098438333726087,-0.5263689234487998,-1.8499603072258468
NPM3,ENSG00000107833,protein_coding,103543145,-,chr10,4.314232468705355,5.8095636453514725,4.496449566475473
NPNT,ENSG00000168743,protein_coding,106816615,+,chr4,1.297191416565856,2.786094467629044,1.508682179470545
NPPA,ENSG00000175206,protein_coding,11907829,-,chr1,-3.764150423492437,-2.251538766995965,-3.5294891648227247
NPPB,ENSG00000120937,protein_coding,11918990,-,chr1,-4.8656476133766375,-3.532824877385981,-4.7027498788282935
NPPC,ENSG00000163273,protein_coding,232791098,-,chr2,-2.287712379549449,-0.8267446169790277,-2.0868137745110054
NPR1,ENSG00000169418,protein_coding,153651078,+,chr1,5.129105760665405,6.529624201972049,5.316373861274324
NPR2,ENSG00000159899,protein_coding,35791710,+,chr9,1.6469460168301135,3.115615931428109,1.854793597993688
NPR3,ENSG00000113389,protein_coding,32711419,+,chr5,-0.7643954672367012,0.7335278874732796,-0.533868871237812
NPRL2,ENSG00000114388,protein_coding,50388141,-,chr3,3.0975770884045755,4.606880418693167,3.27475365938461
NPRL3,ENSG00000103148,protein_coding,188624,-,chr16,3.536351357995484,5.016630028638245,3.691187965905525
NPS,ENSG00000214285,protein_coding,129347568,+,chr10,-7.643856189774724,-7.643856189774724,-7.643856189774724
NPSR1,ENSG00000187258,protein_coding,34697812,+,chr7,-7.643856189774724,-7.643856189774724,-7.643856189774724
NPTN,ENSG00000156642,protein_coding,73925651,-,chr15,4.644283164317713,6.122815573343976,4.825658444933666
NPTX1,ENSG00000171246,protein_coding,78450398,-,chr17,-3.475535074035002,-2.110915901401851,-3.276485124126195
NPTX2,ENSG00000106236,protein_coding,98246588,+,chr7,1.681449265314958,3.1161983846635906,1.8437427049485275
NPTXR,ENSG00000221890,protein_coding,39240025,-,chr22,2.7828069286119086,4.262718781770959,2.9926596808129027
NPVF,ENSG00000105954,protein_coding,25268104,-,chr7,-7.643856189774724,-7.643856189774724,-7.643856189774724
NPW,ENSG00000183971,protein_coding,2069778,+,chr16,3.638143362977262,5.1130545085242805,3.8694568925188815
NPY,ENSG00000122585,protein_coding,24323800,+,chr7,-2.1824585998485664,-0.6538089702009302,-1.981650690121108
NPY1R,ENSG00000164128,protein_coding,164253738,-,chr4,-3.011587974275212,-1.5454029434654504,-2.7226103011891363
NPY2R,ENSG00000185149,protein_coding,156129778,+,chr4,-5.02561753417927,-3.834441745538826,-4.895394956770689
NPY5R,ENSG00000164129,protein_coding,164265035,+,chr4,-7.643856189774724,-7.643856189774724,-7.643856189774724
NQO1,ENSG00000181019,protein_coding,69760453,-,chr16,3.927792181593779,5.369815424283913,4.13651953255056
NQO2,ENSG00000124588,protein_coding,3000057,+,chr6,2.0666747627244604,3.539878427841117,2.268733801077902
NR0B1,ENSG00000169297,protein_coding,30327504,-,chrX,-3.669326877290843,-2.282087830355571,-3.5278241963276145
NR0B2,ENSG00000131910,protein_coding,27240455,-,chr1,-4.820106829466452,-3.547931769776189,-4.706511797624493
NR1D1,ENSG00000126368,protein_coding,38256822,-,chr17,2.305678743242288,3.8126009046006,2.5004961488878905
NR1D2,ENSG00000174738,protein_coding,23986762,+,chr3,3.183867583346084,4.64824683630807,3.344416645340759
NR1H2,ENSG00000131408,protein_coding,50879705,+,chr19,4.047826270877853,5.524499403196266,4.209281791692462
NR1H3,ENSG00000025434,protein_coding,47279504,+,chr11,2.3930866550235312,3.883298226453152,2.577054131873994
NR1H4,ENSG00000012504,protein_coding,100867627,+,chr12,-6.6152870375779536,-5.695255342281369,-6.519528054772524
NR1I2,ENSG00000144852,protein_coding,119500941,+,chr3,-2.8562147752913987,-1.492484413520771,-2.6429547870331924
NR1I3,ENSG00000143257,protein_coding,161208013,-,chr1,-3.0267928458865447,-1.6016496296540352,-2.8551704791611905
NR2C1,ENSG00000120798,protein_coding,95467267,-,chr12,1.7003509341759642,3.156590775139226,1.8568662069844315
NR2C2,ENSG00000177463,protein_coding,14989076,+,chr3,1.7990873060740036,3.320831229794736,1.952408122326442
NR2C2AP,ENSG00000184162,protein_coding,19314162,-,chr19,3.708661801316529,5.177618860321813,3.9335820799516
NR2E1,ENSG00000112333,protein_coding,108487289,+,chr6,-7.643856189774724,-7.643856189774724,-7.643856189774724
NR2F1,ENSG00000175745,protein_coding,92918919,+,chr5,1.560079050433412,3.057276965073248,1.7148389615542867
NR2F2,ENSG00000185551,protein_coding,96873921,+,chr15,3.76969769874776,5.236676291999046,3.9097443075460463
NR2F6,ENSG00000160113,protein_coding,17356697,-,chr19,6.254565699783209,7.679600436365609,6.408006982597045
NR3C1,ENSG00000113580,protein_coding,142783175,-,chr5,2.303283937264085,3.7417042699962986,2.492237763720539
NR3C2,ENSG00000151623,protein_coding,149363494,-,chr4,-0.3360633936448297,1.137700241479607,-0.119040261417219
NR4A1,ENSG00000123358,protein_coding,52445218,+,chr12,2.235328808791722,3.701992553731344,2.456070160781307
NR4A2,ENSG00000153234,protein_coding,157189180,-,chr2,2.173671140675208,3.556466202784396,2.343748911835432
NR4A3,ENSG00000119508,protein_coding,102584262,+,chr9,-1.510868147147283,-0.0036112535523788,-1.2848973639423955
NR5A1,ENSG00000136931,protein_coding,127269661,-,chr9,-0.7048647509991819,0.5396303246846664,-0.5627722610870902
NR5A2,ENSG00000116833,protein_coding,199996733,+,chr1,-2.219605903690676,-0.7451641172142369,-2.0267928458865447
NR6A1,ENSG00000148200,protein_coding,127533582,-,chr9,-0.6896598793878495,0.7619660307369442,-0.529697421054178
NRAP,ENSG00000197893,protein_coding,115423792,-,chr10,-4.194955238629597,-2.8211260418302047,-4.004624026525447
NRARP,ENSG00000198435,protein_coding,140196716,-,chr9,3.0256844159710576,4.508086320477644,3.212553775713563
NRAS,ENSG00000213281,protein_coding,115259337,-,chr1,4.362953745170763,5.893143751166614,4.564798842467334
NRBF2,ENSG00000148572,protein_coding,64893039,+,chr10,3.5394194034497217,5.027322167356937,3.719851504438632
NRBP1,ENSG00000115216,protein_coding,27651478,+,chr2,4.385023711719456,5.84790172561743,4.597400068346119
NRBP2,ENSG00000185189,protein_coding,144923112,-,chr8,4.069762306308479,5.528890076752295,4.282172889147674
NRCAM,ENSG00000091129,protein_coding,108096822,-,chr7,1.7533478061359085,3.1314413222776034,1.9491987318951527
NRF1,ENSG00000106459,protein_coding,129251531,+,chr7,2.041873760515291,3.5093538104697246,2.256074675633932
NRG1,ENSG00000157168,protein_coding,32405821,+,chr8,-3.919205918041758,-2.5691795034802287,-3.7938569303086265
NRG2,ENSG00000158458,protein_coding,139422833,-,chr5,-1.437525541903675,0.0635029423061579,-1.2518823067144322
NRG3,ENSG00000185737,protein_coding,83634940,+,chr10,-1.7216583413783575,-0.3393451479647718,-1.5614942202172508
NRG4,ENSG00000169752,protein_coding,76304731,-,chr15,-0.9601597354682088,0.4899539013313055,-0.8094483479677298
NRGN,ENSG00000154146,protein_coding,124609823,+,chr11,2.7638364588909514,4.342803611661262,2.9537122282645187
NRIP1,ENSG00000180530,protein_coding,16437293,-,chr21,1.833902076669164,3.3410748829944987,2.043379504332318
NRIP2,ENSG00000053702,protein_coding,2944184,-,chr12,0.4972291287876059,2.0210887964826934,0.7046064133237402
NRIP3,ENSG00000175352,protein_coding,9025541,-,chr11,-0.3278915199686961,1.1777902555054407,-0.1478413163369621
NRK,ENSG00000123572,protein_coding,105066524,+,chrX,-1.8809758968577253,-0.4406550334581138,-1.7519510015627942
NRL,ENSG00000129535,protein_coding,24553835,-,chr14,-1.192974874501356,0.293017272049508,-0.9988463053836298
NRM,ENSG00000137404,protein_coding,30658745,-,chr6,3.939217172905893,5.435848581605912,4.127137990469689
NRN1,ENSG00000124785,protein_coding,6007111,-,chr6,-0.8280246233099011,0.6625701158281457,-0.6018685681233664
NRN1L,ENSG00000188038,protein_coding,67918770,+,chr16,-7.643856189774724,-7.643856189774724,-7.643856189774724
NRP1,ENSG00000099250,protein_coding,33623784,-,chr10,1.8271279910976312,3.24848929580373,1.9904466518877888
NRP2,ENSG00000118257,protein_coding,206547215,+,chr2,2.0848126388332093,3.493903471577461,2.2609590396854604
NRSN1,ENSG00000152954,protein_coding,24126427,+,chr6,-5.553002759323611,-4.235144328745296,-5.442222328605075
NRSN2,ENSG00000125841,protein_coding,327736,+,chr20,4.971138852847093,6.461559662993092,5.161335483917092
NRXN1,ENSG00000179915,protein_coding,51259229,-,chr2,-7.1791879227712805,-6.643856189774724,-7.137965260044767
NRXN2,ENSG00000110076,protein_coding,64410964,-,chr11,-0.1702316067164654,1.293782455785916,0.0071955014042037
NRXN3,ENSG00000021645,protein_coding,78636709,+,chr14,-1.8246989660997568,-0.3045406173614416,-1.7207070093024162
NSA2,ENSG00000164346,protein_coding,74063059,+,chr5,3.8759766021384574,5.358923672016105,4.040226147877754
NSD1,ENSG00000165671,protein_coding,176560742,+,chr5,2.5926125110502163,4.088735246190284,2.801324235692284
NSDHL,ENSG00000147383,protein_coding,151999599,+,chrX,3.946244266143674,5.400667711652222,4.079574382806716
NSF,ENSG00000073969,protein_coding,44803940,+,chr17,2.693408896525396,4.165357258737838,2.853895872285044
NSFL1C,ENSG00000088833,protein_coding,1447467,-,chr20,3.752620155864735,5.216970852582409,3.9230160317404175
NSL1,ENSG00000117697,protein_coding,212965104,-,chr1,1.555079898326656,2.957487482828422,1.7210226076014223
NSMAF,ENSG00000035681,protein_coding,59572301,-,chr8,2.041418226087656,3.5281712093096025,2.2300185137126256
NSMCE1,ENSG00000169189,protein_coding,27280050,-,chr16,3.8199440265725264,5.339572123746788,3.985555076809348
NSMCE2,ENSG00000156831,protein_coding,126104076,+,chr8,3.0471544565628155,4.481964071103759,3.196512623790397
NSMCE4A,ENSG00000107672,protein_coding,123734683,-,chr10,2.9009150982199423,4.358565054153975,3.098621677228956
NSRP1,ENSG00000126653,protein_coding,28443819,+,chr17,2.219400882158241,3.753369202059604,2.3755121407037443
NSUN2,ENSG00000037474,protein_coding,6633114,-,chr5,3.3484732260822985,4.821919360046369,3.545968369105293
NSUN3,ENSG00000178694,protein_coding,93781818,+,chr3,1.046630747940162,2.539406995357893,1.2115729594502909
NSUN4,ENSG00000117481,protein_coding,46806452,+,chr1,2.0485500841749915,3.5025470152019493,2.2416266610988504
NSUN5,ENSG00000130305,protein_coding,72722783,-,chr7,3.458224496099643,4.930690035310685,3.623199660083987
NSUN6,ENSG00000241058,protein_coding,18940501,-,chr10,1.411751628964522,2.868686765322136,1.5762802576213553
NSUN7,ENSG00000179299,protein_coding,40751927,+,chr4,0.5581696548346118,2.0412780327060247,0.7628165259811056
NT5C,ENSG00000125458,protein_coding,73127826,-,chr17,3.061396036235096,4.535611318236485,3.285343030159256
NT5C1A,ENSG00000116981,protein_coding,40137752,-,chr1,-7.643856189774724,-7.643856189774724,-7.643856189774724
NT5C1B-RDH14,ENSG00000250741,protein_coding,18770813,-,chr2,-7.643856189774724,-7.643856189774724,-7.643856189774724
NT5C2,ENSG00000076685,protein_coding,104953009,-,chr10,1.4630992673481036,2.992496540506935,1.6541605409956186
NT5DC1,ENSG00000178425,protein_coding,116421976,+,chr6,1.4868173270763383,2.963289151214726,1.6373320201301416
NT5DC2,ENSG00000168268,protein_coding,52567819,-,chr3,4.687850146216682,6.13267759749974,4.890349407198842
NT5DC3,ENSG00000111696,protein_coding,104234989,-,chr12,0.4126189589919306,1.8737344679685584,0.5724046473903315
NT5DC4,ENSG00000144130,protein_coding,113483700,+,chr2,-5.861447624847352,-4.69525534228137,-5.717856771218502
NT5E,ENSG00000135318,protein_coding,86159765,+,chr6,2.0173518417877747,3.3889196564553927,2.222279062272642
NT5M,ENSG00000205309,protein_coding,17206635,+,chr17,1.3791218651520354,2.823504815000307,1.586020089349356
NTAN1,ENSG00000157045,protein_coding,15149828,-,chr16,2.03167749645076,3.469286899093872,2.199499603660362
NTF3,ENSG00000185652,protein_coding,5541267,+,chr12,-0.279108683752437,1.1786827756652565,-0.1395536066115559
NTHL1,ENSG00000065057,protein_coding,2097807,-,chr16,3.4328792553251484,4.859109835360758,3.589475877911847
NTM,ENSG00000182667,protein_coding,131240498,+,chr11,-1.1933047464682418,0.2861714511070191,-0.9714308478032292
NTN1,ENSG00000065320,protein_coding,8924820,+,chr17,2.249415000177082,3.670681739455936,2.408711861029429
NTN3,ENSG00000162068,protein_coding,2521286,+,chr16,-1.973129135275255,-0.4611638922585344,-1.7794223934091011
NTN4,ENSG00000074527,protein_coding,96184533,-,chr12,2.690573537325647,4.058359793111598,2.849038476896004
NTNG1,ENSG00000162631,protein_coding,107682694,+,chr1,-2.7670936989931696,-1.417347659966045,-2.6144033039877543
NTNG2,ENSG00000196358,protein_coding,135037060,+,chr9,-1.866699523770224,-0.4510702305236001,-1.6943212567577126
NTPCR,ENSG00000135778,protein_coding,233086326,+,chr1,1.43648169189106,2.875485204252006,1.568080761456361
NTRK1,ENSG00000198400,protein_coding,156830650,+,chr1,-4.296190533473754,-2.98051157040864,-4.15072126746922
NTRK2,ENSG00000148053,protein_coding,87284675,+,chr9,-2.627716487119472,-1.2095615718147992,-2.486004020632987
NTRK3,ENSG00000140538,protein_coding,88799948,-,chr15,-5.137965260044767,-3.8059129478836975,-4.956795501434833
NTS,ENSG00000133636,protein_coding,86268065,+,chr12,-0.7634155418868249,0.785257588992612,-0.6420539471407393
NTSR1,ENSG00000101188,protein_coding,61340179,+,chr20,-4.056491198838264,-2.6665762662748085,-3.938984225318373
NTSR2,ENSG00000169006,protein_coding,11810312,-,chr2,-3.162298909066134,-1.647467443327104,-3.031503691022063
NUAK1,ENSG00000074590,protein_coding,106532724,-,chr12,1.0702519218204445,2.53017064839464,1.247684512762383
NUAK2,ENSG00000163545,protein_coding,205290865,-,chr1,4.764935266905052,6.291351226400379,4.94147257373792
NUB1,ENSG00000013374,protein_coding,151038850,+,chr7,3.772202387441184,5.273299543821665,3.95688373396541
NUBP1,ENSG00000103274,protein_coding,10837670,+,chr16,2.188305965683451,3.654183459651996,2.3742326871528654
NUBP2,ENSG00000095906,protein_coding,1832923,+,chr16,3.4753313655410394,4.926886592998123,3.644883023134525
NUBPL,ENSG00000151413,protein_coding,32030582,+,chr14,0.8941386881996707,2.385403425540951,1.0420138960220442
NUCB1,ENSG00000104805,protein_coding,49403562,+,chr19,6.170776341026352,7.6747819397187715,6.382952512990189
NUCB2,ENSG00000070081,protein_coding,17298297,+,chr11,2.3615718700608928,3.845821205535733,2.4770037399821274
NUCKS1,ENSG00000069275,protein_coding,205719295,-,chr1,5.852955154782216,7.317106856649762,6.029293853686228
NUDC,ENSG00000090273,protein_coding,27248203,+,chr1,5.322209392994662,6.848060774452924,5.52111985391015
NUDCD1,ENSG00000120526,protein_coding,110346270,-,chr8,1.5007000922075524,3.03199501813372,1.6597875871814054
NUDCD2,ENSG00000170584,protein_coding,162887071,-,chr5,1.8192185484094523,3.314682026135778,1.993529451016376
NUDCD3,ENSG00000015676,protein_coding,44530208,-,chr7,3.2797832762848387,4.7450113890400925,3.488052202895566
NUDT1,ENSG00000106268,protein_coding,2281843,+,chr7,2.658737042234937,4.098798508533928,2.814160730383944
NUDT10,ENSG00000122824,protein_coding,51075658,+,chrX,-0.6959563035264595,0.7548875021634686,-0.5022599113909069
NUDT11,ENSG00000196368,protein_coding,51239368,-,chrX,-1.1124747292584125,0.4122937713334167,-0.9213901653036336
NUDT12,ENSG00000112874,protein_coding,102898465,-,chr5,1.3564819022568713,2.7742704954836963,1.5130864311341614
NUDT13,ENSG00000166321,protein_coding,74870253,+,chr10,-0.2548057019211985,1.1894134310336724,-0.0981966497492561
NUDT14,ENSG00000183828,protein_coding,105647606,-,chr14,3.8682916687727977,5.362452354673788,4.073091848271221
NUDT15,ENSG00000136159,protein_coding,48611829,+,chr13,3.7464740124484894,5.250719083400555,3.9212744565213695
NUDT16,ENSG00000198585,protein_coding,131100600,+,chr3,2.5959093912629227,4.079087921442343,2.793667030289751
NUDT16L1,ENSG00000168101,protein_coding,4743707,+,chr16,4.244103103603612,5.756844499177765,4.421162694659954
NUDT19,ENSG00000213965,protein_coding,33182691,+,chr19,3.134188076173555,4.567052539992732,3.343450462900396
NUDT2,ENSG00000164978,protein_coding,34329543,+,chr9,3.4172449364221325,4.878176012421781,3.569223721405596
